sep=\t
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
65.400	71.800	53.100	60.800	0.846
69.900	71.800	57.300	60.700	0.846
76.700	71.700	61.500	60.700	0.846
80.000	71.700	66.100	60.700	0.846
83.400	71.700	71.600	60.700	0.847
86.900	71.700	75.800	60.700	0.847
91.000	71.700	78.500	60.800	0.847
93.300	71.700	81.500	60.800	0.848
95.300	71.800	84.400	60.900	0.848
97.400	71.800	86.900	60.900	0.849
99.200	71.900	88.600	61.000	0.849
101.000	71.900	90.400	61.100	0.850
102.700	72.000	92.200	61.200	0.850
104.300	72.000	93.900	61.300	0.851
105.700	72.100	95.800	61.400	0.852
107.000	72.200	97.600	61.500	0.853
108.000	72.300	99.100	61.700	0.853
108.900	72.400	100.600	61.800	0.854
109.600	72.500	101.700	62.000	0.855
109.800	72.600	102.700	62.100	0.856
109.900	72.700	103.500	62.300	0.857
109.600	72.700	104.100	62.400	0.858
108.800	72.800	104.300	62.600	0.859
107.500	72.900	104.400	62.800	0.861
106.100	73.000	103.800	62.900	0.862
104.200	73.100	103.200	63.100	0.863
101.600	73.200	102.000	63.300	0.864
98.500	73.300	100.100	63.400	0.866
95.200	73.300	98.200	63.600	0.867
93.200	73.400	95.700	63.700	0.869
91.100	73.400	92.500	63.900	0.870
89.000	73.500	89.000	64.000	0.871
87.500	73.500	85.900	64.100	0.872
86.600	73.500	83.800	64.200	0.873
85.600	73.600	81.900	64.300	0.874
84.700	73.600	80.900	64.400	0.875
83.900	73.600	80.300	64.500	0.876
82.800	73.700	79.500	64.600	0.877
81.800	73.700	78.400	64.700	0.878
80.700	73.700	76.900	64.800	0.879
79.600	73.700	75.400	64.900	0.880
78.700	73.800	74.000	65.000	0.881
77.400	73.800	72.500	65.100	0.882
76.300	73.800	71.200	65.200	0.883
75.300	73.800	69.600	65.200	0.884
74.400	73.800	68.200	65.300	0.885
73.300	73.800	67.000	65.400	0.885
72.400	73.800	65.800	65.400	0.886
71.600	73.800	64.700	65.500	0.887
70.800	73.800	63.500	65.600	0.888
70.000	73.800	62.400	65.600	0.888
69.100	73.800	61.500	65.700	0.889
68.400	73.800	60.900	65.700	0.890
67.700	73.800	60.400	65.800	0.891
66.900	73.800	59.800	65.800	0.891
66.300	73.800	59.300	65.900	0.892
65.800	73.800	58.600	65.900	0.893
65.200	73.800	58.100	65.900	0.893
64.600	73.800	57.600	66.000	0.894
64.000	73.800	57.100	66.000	0.895
63.500	73.800	56.800	66.100	0.895
63.100	73.800	56.200	66.100	0.896
62.500	73.800	55.800	66.200	0.897
62.000	73.800	55.300	66.200	0.897
61.600	73.800	54.800	66.200	0.898
61.100	73.800	54.700	66.300	0.899
60.600	73.700	54.400	66.300	0.899
60.100	73.700	54.000	66.400	0.900
59.700	73.700	53.500	66.400	0.901
59.300	73.700	53.200	66.400	0.901
58.900	73.700	52.900	66.500	0.902
58.300	73.700	52.500	66.500	0.902
58.000	73.700	52.100	66.500	0.903
57.700	73.700	51.800	66.600	0.904
57.400	73.600	51.500	66.600	0.904
57.200	73.600	51.200	66.600	0.905
57.100	73.600	51.000	66.700	0.906
56.600	73.600	50.800	66.700	0.906
56.500	73.600	50.800	66.700	0.907
56.600	73.600	50.800	66.800	0.907
56.200	73.600	50.900	66.800	0.908
55.900	73.600	50.600	66.800	0.908
55.600	73.500	50.400	66.900	0.909
55.200	73.500	50.600	66.900	0.910
54.800	73.500	50.700	66.900	0.910
54.100	73.500	50.400	66.900	0.911
53.600	73.500	50.100	67.000	0.911
53.200	73.500	49.800	67.000	0.912
52.700	73.500	49.400	67.000	0.913
52.100	73.400	49.000	67.100	0.913
51.600	73.400	48.500	67.100	0.914
51.100	73.400	48.100	67.100	0.914
50.800	73.400	47.700	67.100	0.915
51.000	73.400	47.600	67.200	0.916
51.200	73.300	47.500	67.200	0.916
52.200	73.300	47.500	67.200	0.917
54.800	73.300	47.800	67.300	0.917
59.000	73.300	48.800	67.300	0.918
62.600	73.300	50.100	67.300	0.918
65.800	73.300	52.400	67.300	0.918
68.800	73.400	56.300	67.300	0.918
75.200	73.400	60.400	67.300	0.918
79.900	73.400	64.700	67.400	0.918
83.400	73.400	69.500	67.400	0.917
87.000	73.500	74.300	67.400	0.917
90.500	73.500	78.300	67.400	0.917
93.700	73.500	81.300	67.400	0.917
96.100	73.500	84.100	67.400	0.917
98.300	73.500	86.800	67.400	0.917
100.200	73.600	89.100	67.400	0.917
102.200	73.600	91.200	67.500	0.917
104.100	73.600	93.000	67.500	0.917
105.900	73.600	95.200	67.500	0.916
107.300	73.700	97.400	67.500	0.916
108.800	73.700	99.100	67.500	0.916
110.100	73.700	100.700	67.500	0.916
111.200	73.700	102.200	67.500	0.916
112.000	73.700	103.400	67.600	0.916
112.500	73.800	104.600	67.600	0.916
112.700	73.800	105.800	67.600	0.916
112.700	73.800	106.500	67.600	0.916
112.100	73.800	107.100	67.600	0.916
111.300	73.900	107.300	67.700	0.916
110.100	73.900	107.200	67.700	0.916
108.400	73.900	106.800	67.700	0.916
106.200	73.900	105.900	67.700	0.916
103.400	73.900	104.700	67.700	0.916
100.200	74.000	102.900	67.700	0.916
96.700	74.000	100.700	67.800	0.916
94.400	74.000	97.900	67.800	0.916
92.300	74.000	94.600	67.800	0.916
90.100	74.000	90.700	67.800	0.916
88.400	74.000	87.000	67.800	0.916
87.500	74.000	84.400	67.800	0.916
86.400	74.000	82.700	67.900	0.916
86.400	74.100	81.400	67.900	0.916
85.400	74.100	80.600	67.900	0.916
