"sep=\t"
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
91.200	92.300	113.600	96.400	1.044
91.300	92.300	106.800	96.500	1.045
91.400	92.300	102.500	96.500	1.046
91.400	92.300	104.200	96.600	1.047
91.200	92.300	106.200	96.700	1.048
91.400	92.200	105.500	96.700	1.049
91.300	92.200	105.100	96.800	1.050
91.200	92.200	105.900	96.900	1.051
91.200	92.200	106.100	97.000	1.052
90.900	92.200	105.900	97.100	1.053
91.000	92.200	105.300	97.100	1.054
91.000	92.100	104.600	97.200	1.055
91.200	92.100	104.300	97.300	1.056
91.100	92.100	103.900	97.400	1.057
91.200	92.100	103.300	97.400	1.058
91.200	92.100	102.800	97.500	1.058
91.100	92.100	102.200	97.600	1.060
90.900	92.100	101.100	97.700	1.060
90.900	92.100	100.700	97.700	1.061
90.800	92.100	99.900	97.800	1.062
90.900	92.100	98.700	97.900	1.063
90.700	92.100	97.900	97.900	1.063
91.000	92.100	97.200	98.000	1.064
90.800	92.100	96.500	98.100	1.065
90.900	92.100	95.800	98.100	1.065
90.800	92.100	95.100	98.200	1.066
90.600	92.100	94.300	98.300	1.067
90.600	92.100	93.400	98.300	1.067
90.700	92.100	92.600	98.400	1.068
90.400	92.100	92.100	98.400	1.069
90.600	92.100	91.800	98.500	1.069
90.500	92.100	91.300	98.500	1.070
90.700	92.100	91.500	98.600	1.070
90.600	92.100	91.600	98.600	1.071
90.800	92.100	90.900	98.700	1.072
90.700	92.100	89.900	98.700	1.073
90.700	92.100	88.700	98.800	1.073
90.600	92.100	87.500	98.800	1.074
90.600	92.100	86.600	98.900	1.074
90.600	92.100	85.800	98.900	1.075
90.400	92.000	85.200	99.000	1.076
90.400	92.000	85.100	99.100	1.076
90.600	92.000	84.300	99.100	1.077
90.600	92.000	83.000	99.200	1.077
90.400	92.000	81.700	99.200	1.078
90.300	92.000	81.000	99.200	1.079
90.400	92.000	81.000	99.300	1.079
90.200	92.000	81.600	99.300	1.079
90.300	92.000	81.500	99.300	1.080
90.300	92.000	81.600	99.300	1.080
90.200	91.900	83.300	99.300	1.080
90.400	91.900	85.300	99.400	1.081
90.400	91.900	87.700	99.400	1.081
90.400	91.900	87.800	99.400	1.081
90.400	91.900	85.700	99.300	1.080
90.400	91.900	84.700	99.200	1.080
90.200	91.900	88.400	99.200	1.079
90.100	91.900	97.200	99.100	1.079
90.100	91.900	106.500	99.100	1.079
90.200	91.800	111.800	99.100	1.079
90.200	91.800	114.100	99.100	1.080
90.200	91.800	115.300	99.200	1.080
90.300	91.800	117.600	99.200	1.080
90.200	91.800	120.100	99.200	1.080
90.200	91.800	121.900	99.200	1.081
90.000	91.800	123.600	99.200	1.081
90.100	91.800	125.200	99.300	1.082
90.100	91.800	126.500	99.300	1.082
90.100	91.800	127.800	99.300	1.083
